Brand,Model,Form Factor,Cybenetics Rating,20W Efficiency,40W Efficiency,60W Efficiency,80W Efficiency,Report Link
Seasonic,Prime Titanium 750W,ATX12V,TITANIUM,"81,93%","88,77%","90,73%","92,36%",https://www.cybenetics.com/d/cybenetics_xGy.pdf
Seasonic,Prime Titanium 650W,ATX12V,PLATINUM,"81,60%","88,76%","90,47%","92,08%",https://www.cybenetics.com/d/cybenetics_ZfJ.pdf
Corsair,RM550x (2021),ATX12V,GOLD,"81,19%","85,65%","87,39%","87,92%",https://www.cybenetics.com/d/cybenetics_rn4.pdf
Cooler Master,MWE 400,ATX12V,,"81,12%","85,18%","86,50%","87,33%",https://www.cybenetics.com/d/cybenetics_H7o.pdf
Seasonic,Prime Titanium 850W,ATX12V,TITANIUM,"81,00%","88,59%","90,72%","92,14%",https://www.cybenetics.com/d/cybenetics_B7p.pdf
Corsair,RM750x (Shift),ATX12V,GOLD,"80,45%","85,22%","86,57%","87,50%",https://www.cybenetics.com/d/cybenetics_4I5.pdf
Corsair,RM750 (2019) (Sample #2),ATX12V,GOLD,"80,25%","85,22%","86,85%","86,40%",https://www.cybenetics.com/d/cybenetics_AOc.pdf
Corsair,RM750 (2019),ATX12V,GOLD,"80,10%","85,04%","86,62%","86,79%",https://www.cybenetics.com/d/cybenetics_QiM.pdf
Corsair,RM750x (2021),ATX12V,GOLD,"80,09%","85,12%","87,20%","86,92%",https://www.cybenetics.com/d/cybenetics_miH.pdf
Cooler Master,V550 Gold V2 (2021),ATX12V,GOLD,"80,07%","85,84%","87,50%","87,12%",https://www.cybenetics.com/d/cybenetics_4YD.pdf
Thermaltake,Toughpower GF3 ARGB 750W,ATX12V,GOLD,"80,02%","71,17%","83,25%","85,39%",https://www.cybenetics.com/d/cybenetics_qkL.pdf
Corsair,RM850x (2021),ATX12V,GOLD,"80,01%","84,56%","86,70%","87,04%",https://www.cybenetics.com/d/cybenetics_qw1.pdf
Corsair,RM650 (2019),ATX12V,GOLD,"79,85%","84,47%","86,35%","87,43%",https://www.cybenetics.com/d/cybenetics_sa2.pdf
Thermaltake,Toughpower GF3 ARGB 850W,ATX12V,PLATINUM,"79,79%","68,64%","83,73%","85,44%",https://www.cybenetics.com/d/cybenetics_omi.pdf
Corsair,RM650x (2021),ATX12V,GOLD,"79,78%","84,60%","86,71%","88,05%",https://www.cybenetics.com/d/cybenetics_Pvu.pdf
Corsair,RM850 (2019) (Sample #2),ATX12V,GOLD,"79,61%","84,85%","86,72%","86,87%",https://www.cybenetics.com/d/cybenetics_din.pdf
Seasonic,Prime Titanium Ultra 650W,ATX12V,GOLD,"79,45%","87,61%","89,88%","91,48%",https://www.cybenetics.com/d/cybenetics_juP.pdf
be quiet!,Pure Power 11 FM 550W,ATX12V,GOLD,"79,40%","84,15%","83,56%","85,68%",https://www.cybenetics.com/d/cybenetics_2CX.pdf
Cooler Master,MWE 550,ATX12V,,"79,31%","84,52%","86,11%","87,12%",https://www.cybenetics.com/d/cybenetics_BEL.pdf
Corsair,RM650 (2019) (Sample #2),ATX12V,GOLD,"79,31%","84,07%","85,98%","87,52%",https://www.cybenetics.com/d/cybenetics_f3n.pdf
Seasonic,Prime Titanium Fanless 600W,ATX12V,GOLD,"79,28%","86,69%","89,88%","91,77%",https://www.cybenetics.com/d/cybenetics_cdw.pdf
Thermaltake,Toughpower GF3 1000W,ATX12V,GOLD,"79,27%","84,26%","86,05%","87,79%",https://www.cybenetics.com/d/cybenetics_1GW.pdf
Cooler Master,MWE Bronze 450,ATX12V,,"79,11%","83,28%","84,88%","85,81%",https://www.cybenetics.com/d/cybenetics_yfy.pdf
Corsair,RM850x,ATX12V,GOLD,"79,00%","84,18%","86,21%","86,76%",https://www.cybenetics.com/d/cybenetics_bBw.pdf
EVGA,SuperNOVA 850 P6,ATX12V,PLATINUM,"78,78%","84,64%","84,81%","86,97%",https://www.cybenetics.com/d/cybenetics_5Ss.pdf
Thermaltake,Toughpower GF3 750W,ATX12V,GOLD,"78,71%","84,07%","85,86%","84,98%",https://www.cybenetics.com/d/cybenetics_xTI.pdf
Cooler Master,MWE 450,ATX12V,BRONZE,"78,67%","83,72%","85,54%","86,52%",https://www.cybenetics.com/d/cybenetics_Tmc.pdf
Cooler Master,MWE 600,ATX12V,BRONZE,"78,65%","84,53%","86,13%","87,03%",https://www.cybenetics.com/d/cybenetics_dLz.pdf
Cooler Master,MWE 750,ATX12V,SILVER,"78,63%","84,53%","74,37%","78,74%",https://www.cybenetics.com/d/cybenetics_NDZ.pdf
Vetroo,1000G5,ATX12V,PLATINUM,"78,61%","83,94%","86,40%","87,00%",https://www.cybenetics.com/d/cybenetics_k9a.pdf
Asus,ROG-STRIX-750G-AURA-GAMING,ATX12V,GOLD,"78,51%","83,81%","85,58%","84,38%",https://www.cybenetics.com/d/cybenetics_lDW.pdf
Thermaltake,Toughpower GF3 1200W,ATX12V,PLATINUM,"78,37%","82,47%","86,19%","86,29%",https://www.cybenetics.com/d/cybenetics_TLu.pdf
Montech,Titan Gold 1000W,ATX12V,GOLD,"78,29%","84,19%","86,69%","87,34%",https://www.cybenetics.com/d/cybenetics_eLx.pdf
Corsair,RM850x (Shift),ATX12V,GOLD,"78,28%","84,18%","85,90%","86,06%",https://www.cybenetics.com/d/cybenetics_XRO.pdf
be quiet!,Pure Power 12 M 850W,ATX12V,PLATINUM,"78,25%","84,49%","86,87%","87,06%",https://www.cybenetics.com/d/cybenetics_nCz.pdf
Cooler Master,MWE 500,ATX12V,,"78,14%","83,33%","84,87%","86,09%",https://www.cybenetics.com/d/cybenetics_ygH.pdf
Cooler Master,MWE 700,ATX12V,BRONZE,"78,00%","84,16%","74,85%","78,82%",https://www.cybenetics.com/d/cybenetics_5DQ.pdf
XPG,Core Reactor 650W,ATX12V,PLATINUM,"77,95%","83,84%","85,58%","87,80%",https://www.cybenetics.com/d/cybenetics_LfN.pdf
Seasonic,Prime Fanless TX-700,ATX12V,TITANIUM,"77,91%","85,78%","88,79%","90,63%",https://www.cybenetics.com/d/cybenetics_qm9.pdf
be quiet!,Pure Power 12 M 1000W,ATX12V,PLATINUM,"77,77%","83,00%","86,36%","85,29%",https://www.cybenetics.com/d/cybenetics_i57.pdf
Corsair,AX850,ATX12V,TITANIUM,"77,77%","87,02%","89,58%","91,56%",https://www.cybenetics.com/d/cybenetics_dqR.pdf
be quiet!,Pure Power 11 FM 650W,ATX12V,GOLD,"77,70%","83,03%","83,95%","85,45%",https://www.cybenetics.com/d/cybenetics_KrA.pdf
XPG,Core Reactor II 1000W,ATX12V,PLATINUM,"77,69%","84,41%","85,70%","87,93%",https://www.cybenetics.com/d/cybenetics_2Oh.pdf
Corsair,RM1000e,ATX12V,PLATINUM,"77,59%","83,65%","86,22%","85,63%",https://www.cybenetics.com/d/cybenetics_eYi.pdf
Montech,Titan Gold 850W,ATX12V,GOLD,"77,56%","83,59%","85,46%","86,10%",https://www.cybenetics.com/d/cybenetics_SMA.pdf
Cooler Master,MWE Bronze 600,ATX12V,,"77,54%","83,33%","80,64%","83,49%",https://www.cybenetics.com/d/cybenetics_vMd.pdf
Super Flower,Leadex III Gold 550W rev.2,ATX12V,PLATINUM,"77,45%","84,71%","87,60%","88,58%",https://www.cybenetics.com/d/cybenetics_BiH.pdf
Cooler Master,MWE Bronze 550,ATX12V,,"77,43%","83,34%","74,97%","80,20%",https://www.cybenetics.com/d/cybenetics_Jv8.pdf
Cooler Master,V750 Gold (Version 2),ATX12V,PLATINUM,"77,32%","80,85%","84,38%","87,05%",https://www.cybenetics.com/d/cybenetics_ys9.pdf
Cooler Master,MWE Bronze 700,ATX12V,,"77,29%","83,01%","74,27%","77,81%",https://www.cybenetics.com/d/cybenetics_Eq6.pdf
Cooler Master,MWE 650 (#2),ATX12V,SILVER,"77,28%","83,54%","85,82%","86,67%",https://www.cybenetics.com/d/cybenetics_suS.pdf
1st Player,SFX 7.5 750W,SFX,PLATINUM,"77,25%","84,93%","87,86%","88,37%",https://www.cybenetics.com/d/cybenetics_2Th.pdf
Aerocool,ACP-750FP7,ATX12V,PLATINUM,"77,16%","82,90%","87,28%","89,68%",https://www.cybenetics.com/d/cybenetics_Z4u.pdf
Corsair,TX550M (2021),ATX12V,GOLD,"77,11%","78,97%","83,39%","86,05%",https://www.cybenetics.com/d/cybenetics_DVI.pdf
Asus,ROG-STRIX-850G-AURA-GAMING,ATX12V,GOLD,"77,10%","82,37%","84,08%","85,59%",https://www.cybenetics.com/d/cybenetics_Nsu.pdf
Cooler Master,MWE 650 (#1),ATX12V,SILVER,"77,04%","83,26%","85,22%","86,50%",https://www.cybenetics.com/d/cybenetics_cc7.pdf
Lian Li,PE-750,SFX-L,PLATINUM,"77,02%","83,79%","87,53%","91,35%",https://www.cybenetics.com/d/cybenetics_cMb.pdf
be quiet!,Pure Power 11 FM 750W,ATX12V,GOLD,"77,01%","82,57%","83,70%","85,60%",https://www.cybenetics.com/d/cybenetics_WkK.pdf
Corsair,SF850L,SFX-L,PLATINUM,"76,98%","85,12%","88,27%","89,86%",https://www.cybenetics.com/d/cybenetics_SKK.pdf
Corsair,RM850e,ATX12V,GOLD,"76,88%","82,95%","85,05%","85,83%",https://www.cybenetics.com/d/cybenetics_AF8.pdf
Cooler Master,MWE Bronze 650,ATX12V,,"76,86%","82,86%","76,86%","81,26%",https://www.cybenetics.com/d/cybenetics_bhR.pdf
SilverStone,Nightjar 700W,ATX12V,SILVER,"76,83%","85,43%","88,44%","89,81%",https://www.cybenetics.com/d/cybenetics_BFM.pdf
Kolink,Classic Power 400W,ATX12V,SILVER,"76,82%","83,60%","86,81%","88,33%",https://www.cybenetics.com/d/cybenetics_xef.pdf
Corsair,RM750e,ATX12V,PLATINUM,"76,78%","82,73%","83,97%","86,69%",https://www.cybenetics.com/d/cybenetics_XWx.pdf
Corsair,RM1000x (2021),ATX12V,GOLD,"76,77%","81,76%","84,33%","85,09%",https://www.cybenetics.com/d/cybenetics_OxL.pdf
XPG,Core Reactor 750W (#2),ATX12V,GOLD,"76,74%","82,20%","84,04%","86,39%",https://www.cybenetics.com/d/cybenetics_fqo.pdf
XPG,Core Reactor II 650W,ATX12V,GOLD,"76,73%","82,64%","83,49%","86,54%",https://www.cybenetics.com/d/cybenetics_1v8.pdf
Cooler Master,MWE Bronze 500,ATX12V,,"76,64%","82,41%","84,34%","85,37%",https://www.cybenetics.com/d/cybenetics_963.pdf
Seasonic,Prime TX-1000,ATX12V,TITANIUM,"76,62%","85,62%","89,23%","90,68%",https://www.cybenetics.com/d/cybenetics_955.pdf
Corsair,Signature Titanium 1000W,ATX12V,TITANIUM,"76,61%","85,10%","88,43%","90,33%",https://www.cybenetics.com/d/cybenetics_3Nn.pdf
Seasonic,Prime Fanless TX-700 (#2),ATX12V,TITANIUM,"76,60%","85,77%","89,01%","90,52%",https://www.cybenetics.com/d/cybenetics_O6o.pdf
EVGA,SuperNOVA 1000 P6,ATX12V,PLATINUM,"76,59%","82,92%","83,42%","85,61%",https://www.cybenetics.com/d/cybenetics_0Ce.pdf
Corsair,AX1000,ATX12V,TITANIUM,"76,57%","86,07%","89,35%","90,90%",https://www.cybenetics.com/d/cybenetics_PEc.pdf
Seasonic,Prime Titanium Ultra 750W,ATX12V,TITANIUM,"76,55%","85,71%","88,83%","90,60%",https://www.cybenetics.com/d/cybenetics_7fp.pdf
EVGA,SuperNOVA 1000 G6,ATX12V,PLATINUM,"76,44%","80,94%","79,78%","82,87%",https://www.cybenetics.com/d/cybenetics_2aU.pdf
Seasonic,Vertex GX-750,ATX12V,PLATINUM,"76,42%","82,46%","84,56%","85,49%",https://www.cybenetics.com/d/cybenetics_zWL.pdf
Thermaltake,Toughpower GF3 850W,ATX12V,GOLD,"76,41%","82,88%","85,00%","84,59%",https://www.cybenetics.com/d/cybenetics_qSv.pdf
Corsair,SF450 Platinum (Sample #3),SFX,BRONZE,"76,40%","85,43%","88,15%","89,69%",https://www.cybenetics.com/d/cybenetics_8kP.pdf
Cooler Master,MWE Bronze 750,ATX12V,,"76,39%","82,25%","72,99%","76,36%",https://www.cybenetics.com/d/cybenetics_niZ.pdf
Super Flower,Leadex III Gold ARGB 550W (#2),ATX12V,PLATINUM,"76,37%","84,36%","87,32%","88,45%",https://www.cybenetics.com/d/cybenetics_Ow0.pdf
EVGA,SuperNOVA 650 G3,ATX12V,SILVER,"76,32%","83,80%","85,39%","86,89%",https://www.cybenetics.com/d/cybenetics_wP5.pdf
SilverStone,DA1000R Gold,ATX12V,PLATINUM,"76,23%","83,75%","86,13%","87,54%",https://www.cybenetics.com/d/cybenetics_l2u.pdf
Cooler Master,V750i Gold,ATX12V,PLATINUM,"76,19%","84,16%","87,21%","88,88%",https://www.cybenetics.com/d/cybenetics_GB6.pdf
Corsair,RM1000x (Shift),ATX12V,GOLD,"76,16%","81,63%","83,52%","84,19%",https://www.cybenetics.com/d/cybenetics_FPi.pdf
Corsair,HX750 (2021),ATX12V,GOLD,"76,13%","82,38%","85,87%","88,22%",https://www.cybenetics.com/d/cybenetics_BF0.pdf
Super Flower,Golden King 650W,ATX12V,,"76,12%","84,19%","87,13%","88,35%",https://www.cybenetics.com/d/cybenetics_6Cy.pdf
Super Flower,Leadex III Gold ARGB 550W,ATX12V,PLATINUM,"76,04%","84,24%","86,99%","88,38%",https://www.cybenetics.com/d/cybenetics_6d8.pdf
Asus,TUF-450B-GAMING (#2),ATX12V,SILVER,"76,01%","83,60%","86,33%","87,69%",https://www.cybenetics.com/d/cybenetics_BoL.pdf
SilverStone,Strider Essential 500W,ATX12V,GOLD,"76,01%","84,32%","87,42%","88,85%",https://www.cybenetics.com/d/cybenetics_NM2.pdf
XPG,Core Reactor 850W (#2),ATX12V,PLATINUM,"75,98%","82,04%","84,27%","86,08%",https://www.cybenetics.com/d/cybenetics_EY6.pdf
Corsair,TX750M (2021),ATX12V,GOLD,"75,95%","73,32%","78,31%","82,25%",https://www.cybenetics.com/d/cybenetics_nte.pdf
Asus,ROG-LOKI-750P-SFX-L-GAMING,SFX-L,PLATINUM,"75,90%","84,65%","87,96%","89,77%",https://www.cybenetics.com/d/cybenetics_bEc.pdf
Corsair,SF600 Platinum,SFX,PLATINUM,"75,75%","84,81%","88,15%","89,79%",https://www.cybenetics.com/d/cybenetics_4v1.pdf
Cooler Master,V850i Gold,ATX12V,PLATINUM,"75,71%","84,34%","87,40%","88,87%",https://www.cybenetics.com/d/cybenetics_xos.pdf
Bitfenix,Whisper 450W,ATX12V,BRONZE,"75,70%","84,19%","87,25%","88,60%",https://www.cybenetics.com/d/cybenetics_pTP.pdf
be quiet!,Pure Power 11 FM 850W,ATX12V,PLATINUM,"75,66%","82,71%","83,46%","86,40%",https://www.cybenetics.com/d/cybenetics_rJd.pdf
Corsair,RM1200x (Shift),ATX12V,GOLD,"75,63%","79,32%","83,66%","84,00%",https://www.cybenetics.com/d/cybenetics_3j4.pdf
be quiet!,Straight Power 11 550W,ATX12V,PLATINUM,"75,57%","84,10%","87,13%","88,69%",https://www.cybenetics.com/d/cybenetics_6Gh.pdf
Enermax,Revolution D.F.2 1050W,ATX12V,PLATINUM,"75,55%","83,77%","87,89%","89,29%",https://www.cybenetics.com/d/cybenetics_52m.pdf
Corsair,RM750e ATX 3.0,ATX12V,GOLD,"75,54%","77,17%","82,20%","85,31%",https://www.cybenetics.com/d/cybenetics_9Nq.pdf
Corsair,TX650M (2021),ATX12V,GOLD,"75,48%","77,51%","82,36%","85,18%",https://www.cybenetics.com/d/cybenetics_PqV.pdf
Thermaltake,Toughpower PF1 850W,ATX12V,SILVER,"75,44%","83,31%","86,07%","88,22%",https://www.cybenetics.com/d/cybenetics_168.pdf
